,ip.dst,ip.src,udp.srcport,udp.dstport,dns.time
787,173.27.225.118,172.31.0.2,53.0,45205.0,0.000346
789,173.27.225.118,172.31.0.2,53.0,41966.0,0.002242
791,173.27.225.118,172.31.0.2,53.0,50911.0,0.000433
793,173.27.225.118,172.31.0.2,53.0,44556.0,0.000975
795,173.27.225.118,172.31.0.2,53.0,38183.0,0.002944
797,173.27.225.118,172.31.0.2,53.0,57438.0,0.002409
799,173.27.225.118,172.31.0.2,53.0,10256.0,0.000271
801,173.27.225.118,172.31.0.2,53.0,34069.0,0.00036
803,173.27.225.118,172.31.0.2,53.0,29839.0,0.000309
805,173.27.225.118,172.31.0.2,53.0,45155.0,0.000336
807,173.27.225.118,172.31.0.2,53.0,18476.0,0.000272
809,173.27.225.118,172.31.0.2,53.0,1620.0,0.000307
811,173.27.225.118,172.31.0.2,53.0,5220.0,0.000745
813,173.27.225.118,172.31.0.2,53.0,28785.0,0.000359
815,173.27.225.118,172.31.0.2,53.0,23053.0,0.000311
819,173.27.225.118,172.31.0.2,53.0,11309.0,0.002703
820,173.27.225.118,172.31.0.2,53.0,35260.0,0.002615
821,173.27.225.118,172.31.0.2,53.0,18873.0,0.002672
824,173.27.225.118,172.31.0.2,53.0,20757.0,0.00318
826,173.27.225.118,172.31.0.2,53.0,43380.0,0.002484
827,173.27.225.118,172.31.0.2,53.0,3769.0,0.002851
829,173.27.225.118,172.31.0.2,53.0,61419.0,0.000339
831,173.27.225.118,172.31.0.2,53.0,35329.0,0.036545
833,173.27.225.118,172.31.0.2,53.0,62925.0,0.000376
835,173.27.225.118,172.31.0.2,53.0,18735.0,0.000373
837,173.27.225.118,172.31.0.2,53.0,8661.0,0.000334
839,173.27.225.118,172.31.0.2,53.0,31569.0,0.000318
841,173.27.225.118,172.31.0.2,53.0,33683.0,0.000856
843,173.27.225.118,172.31.0.2,53.0,59031.0,0.002134
845,173.27.225.118,172.31.0.2,53.0,61178.0,0.000318
847,173.27.225.118,172.31.0.2,53.0,19927.0,0.0004
849,173.27.225.118,172.31.0.2,53.0,31450.0,0.000312
851,173.27.225.118,172.31.0.2,53.0,28760.0,0.000368
853,173.27.225.118,172.31.0.2,53.0,26546.0,0.000332
855,173.27.225.118,172.31.0.2,53.0,29203.0,0.096796
857,173.27.225.118,172.31.0.2,53.0,46351.0,0.002326
859,173.27.225.118,172.31.0.2,53.0,43317.0,0.000345
